Region,Year,Month,Date,Humidity,Rainfall,Temperature,Dengue_Count
BARMM,2013,January,1-Jan-2013,79,130.3,27.2,222.5
BARMM,2013,February,1-Feb-2013,75,149.2,28.2,107.63
BARMM,2013,March,1-Mar-2013,74,90.2,28.6,113.38
BARMM,2013,April,1-Apr-2013,76,163.2,28.6,146.83
BARMM,2013,May,1-May-2013,76,115.1,28.2,140.25
BARMM,2013,June,1-Jun-2013,78,238.9,27.6,105
BARMM,2013,July,1-Jul-2013,78,393.4,27.4,89
BARMM,2013,August,1-Aug-2013,79,185.7,27.2,180.33
BARMM,2013,September,1-Sep-2013,78,145,27.8,181
BARMM,2013,October,1-Oct-2013,79,280.5,27.1,143.83
BARMM,2013,November,1-Nov-2013,77,196.5,27.6,97.17
BARMM,2013,December,1-Dec-2013,75,91.1,28.2,48
BARMM,2014,January,1-Jan-2014,78,87.5,26.8,222.5
BARMM,2014,February,1-Feb-2014,75,49.8,27.8,100.5
BARMM,2014,March,1-Mar-2014,74,99.4,28.4,32
BARMM,2014,April,1-Apr-2014,74,50.6,28.6,166.33
BARMM,2014,May,1-May-2014,75,168.4,28.6,77
BARMM,2014,June,1-Jun-2014,77,209.7,28,115
BARMM,2014,July,1-Jul-2014,78,286.5,27.4,202
BARMM,2014,August,1-Aug-2014,77,250.5,27.6,180.33
BARMM,2014,September,1-Sep-2014,79,218.6,27.2,181
BARMM,2014,October,1-Oct-2014,78,247.3,27.5,143.83
BARMM,2014,November,1-Nov-2014,77,132.4,28.2,97.17
BARMM,2014,December,1-Dec-2014,76,66,28,103.73
BARMM,2015,January,1-Jan-2015,78,88.9,27.5,222.5
BARMM,2015,February,1-Feb-2015,74,42.7,28.4,110
BARMM,2015,March,1-Mar-2015,72,11.6,28.8,140.5
BARMM,2015,April,1-Apr-2015,73,63.6,28.9,134
BARMM,2015,May,1-May-2015,74,73.9,28.5,104
BARMM,2015,June,1-Jun-2015,77,164.9,27.6,85
BARMM,2015,July,1-Jul-2015,76,155.4,27.6,54
BARMM,2015,August,1-Aug-2015,78,220.6,27.6,114
BARMM,2015,September,1-Sep-2015,78,283.4,27.4,166
BARMM,2015,October,1-Oct-2015,75,110.1,28,92.5
BARMM,2015,November,1-Nov-2015,77,146.7,28.5,92.5
BARMM,2015,December,1-Dec-2015,74,35.8,28.5,114
BARMM,2016,January,1-Jan-2016,71,2.8,29,159
BARMM,2016,February,1-Feb-2016,70,31.5,29.1,92
BARMM,2016,March,1-Mar-2016,69,15.6,29.9,105
BARMM,2016,April,1-Apr-2016,69,93,29.8,152
BARMM,2016,May,1-May-2016,74,205.5,29.1,158
BARMM,2016,June,1-Jun-2016,78,265.4,28.1,324
BARMM,2016,July,1-Jul-2016,76,233.7,28.3,495
BARMM,2016,August,1-Aug-2016,78,288.3,28,278
BARMM,2016,September,1-Sep-2016,79,257.3,28.1,228
BARMM,2016,October,1-Oct-2016,79,331.5,28.1,190
BARMM,2016,November,1-Nov-2016,78,184.9,28.2,183
BARMM,2016,December,1-Dec-2016,78,68.5,28.2,174.2
BARMM,2017,January,1-Jan-2017,77,118.5,27.6,286
BARMM,2017,February,1-Feb-2017,75,105.1,28.155,128
BARMM,2017,March,1-Mar-2017,76,221.2,28.35,176
BARMM,2017,April,1-Apr-2017,75,97,29.065,135
BARMM,2017,May,1-May-2017,76,209.7,28.975,222
BARMM,2017,June,1-Jun-2017,78,225,28.25,202
BARMM,2017,July,1-Jul-2017,80,271,27.9,160
BARMM,2017,August,1-Aug-2017,79,122.8,28.15,149
BARMM,2017,September,1-Sep-2017,79,192.6,28.15,149
BARMM,2017,October,1-Oct-2017,79,387.8,27.85,149
BARMM,2017,November,1-Nov-2017,77,55.2,28.7,16
BARMM,2017,December,1-Dec-2017,78,170.6,28.15,23
BARMM,2018,January,1-Jan-2018,77,77.7,28.1,140
BARMM,2018,February,1-Feb-2018,72,79.3,28.7,127
BARMM,2018,March,1-Mar-2018,68,53.2,29.6,97
BARMM,2018,April,1-Apr-2018,71,124.7,29.4,81
BARMM,2018,May,1-May-2018,75,227.3,29.5,150
BARMM,2018,June,1-Jun-2018,77,196.8,28.4,318
BARMM,2018,July,1-Jul-2018,78,285.1,27.8,380
BARMM,2018,August,1-Aug-2018,78,270.6,27.7,308
BARMM,2018,September,1-Sep-2018,78,215.2,27.6,171.5
BARMM,2018,October,1-Oct-2018,74,205.1,28.8,171.5
BARMM,2018,November,1-Nov-2018,74,110.4,29,176
BARMM,2018,December,1-Dec-2018,74,81.8,28.7,244
